osm_id,osm_type,name,category,city,address,post code,website,lat,lon
12215061706,node,,restaurant,Narbonne,,,,43.2334382,3.0565435
12248938484,node,Le bistro des amis,restaurant,Narbonne,,,,42.9901337,2.9512483
12368000983,node,,restaurant,Narbonne,,,,43.0301041,2.9756958
12368016920,node,,restaurant,Narbonne,,,,43.0288262,2.9780883
12368016925,node,,restaurant,Narbonne,,,,43.0272825,2.9778965
12368017234,node,,restaurant,Narbonne,,,,43.028676,2.9786952
12368017235,node,,restaurant,Narbonne,,,,43.0277199,2.9783542
12369414573,node,,restaurant,Narbonne,,,,42.9728968,2.9924233
12369562896,node,Terracotta,restaurant,Narbonne,42 Avenue Jean Jaurès,,,42.9098222,3.0292825
12369606357,node,Le Spot,restaurant,Narbonne,58 Avenue Jean Jaurès,,,42.9094549,3.0301764
12455790704,node,,restaurant,Narbonne,,,,43.203433,3.0744052
12613086880,node,Chez Jean-marc,restaurant,Narbonne,"8 Route d'Agel, Bize-Minervois",,https://restaurant-bize-minervois.com/,43.3165446,2.8711945
12618319405,node,Hôtel de Paris,hotel,Narbonne,2 Rue du Lion d'Or,,https://www.hoteldeparis-narbonne.fr/,43.1845773,3.0023196
12625915303,node,,restaurant,Narbonne,,,,42.9593099,2.9948247
12645697548,node,La Cantina,restaurant,Narbonne,Bize-Minervois,,https://www.facebook.com/profile.php?id=61559945973453,43.3094493,2.8707866
12773086746,node,Hôtel du Midi,hotel,Narbonne,4 Avenue de Toulouse,,https://hoteldumidi.net/,43.1825116,2.9971922
12794163710,node,Les Délices De La Mer,restaurant,Narbonne,Mas n°2,,https://www.lesdelicesdelamer11.fr/,42.8854649,3.0508694
12829938577,node,Moski Café,restaurant,Narbonne,"11 Rue des Deux Ponts, Lagrasse",,https://www.moksicafe.com/,43.0917583,2.6186737
12830038278,node,La Basse Cour,restaurant,Narbonne,"11 Boulevard de la Promenade, Lagrasse",,https://www.restaurantlabassecour.fr/,43.0916035,2.6211212
12836595806,node,Le Kiosque de WA,restaurant,Narbonne,"40 Boulevard de la Promenade, Lagrasse",,,43.0895388,2.6200347
12836603779,node,Le Bul'Vard,restaurant,Narbonne,"20 Boulevard de la Promenade, Lagrasse",,,43.090463,2.6203971
12861306031,node,Le Serengeti Restaurant-Cafétéria,restaurant,Narbonne,,,,43.0647688,2.9607812
12908916723,node,Central Plage Leucate,restaurant,Narbonne,2 Avenue de la Falaise,,,42.9037073,3.0511741
12912705110,node,Saveurs  Iodées,restaurant,Narbonne,,,,42.8858709,3.0500298
12914988487,node,L'Hippocampe,restaurant,Narbonne,,,,42.8860262,3.0494975
12914988489,node,Aux Noeuds Marins,restaurant,Narbonne,,,,42.8858478,3.0498473
12914988490,node,Le 13 à la 12zaine,restaurant,Narbonne,,,,42.885547,3.0506969
12914988491,node,Les Huitres de Philip,restaurant,Narbonne,3,,,42.8854388,3.0506988
12915033602,node,Chez JO,restaurant,Narbonne,,,https://www.tourisme-leucate.com/offres/producteur-dhuitres-ange-gras-chez-jo-leucate-fr-2935023/,42.8857764,3.0502311
12915033603,node,Gaec Leucatoise,restaurant,Narbonne,,,,42.885636,3.0502752
12915033604,node,La Cabane du Producteur,restaurant,Narbonne,,,,42.8857496,3.0500367
12956046978,node,Pop's Star,restaurant,Narbonne,3 Rue Dali,,https://www.tourisme-leucate.com/offres/pops-stars-port-leucate-leucate-fr-2945194/,42.8406318,3.0394497
12956065728,node,Café-restaurant communal Le Nidtable,restaurant,Narbonne,,,,42.9601081,2.5278297
12966009095,node,Pizza Hut,restaurant,Narbonne,,,,42.9503303,2.9694583
12971886301,node,Oh La La Beach Leucate,restaurant,Narbonne,1920 Avenue Georges Candilis,,https://ohlala-beach.fr/,42.8391338,3.0432061
12985392342,node,Brasserie de Parc,restaurant,Narbonne,,,,43.1813033,3.018003
12987858192,node,Lunch Grill,restaurant,Narbonne,,,,42.9518006,2.9717504
12987858193,node,Les Tables,restaurant,Narbonne,,,,42.9518055,2.9720731
